,Becon_Wireless11,Chamidi1,FGS_Office11,IsuruAp6,NipunaM6,Pied Piper8,Sandali11,UNIC-wifi11,UoM_Wireless11,eduroam1,eduroam11,eduroam6,id
0,-88,-77,-90,-62,-68,-100,-60,-87,-91,-100,-91,-100,1
1,-80,-73,-91,-66,-65,-100,-61,-86,-88,-100,-89,-100,1
2,-88,-80,-91,-66,-57,-100,-63,-87,-91,-100,-90,-100,1
3,-85,-81,-86,-59,-54,-100,-60,-87,-86,-100,-85,-100,1
4,-89,-85,-85,-60,-52,-100,-61,-87,-90,-100,-91,-100,1
5,-93,-80,-90,-63,-55,-100,-64,-87,-91,-100,-91,-100,1
6,-88,-79,-90,-64,-54,-100,-62,-87,-91,-100,-92,-100,1
7,-88,-78,-90,-62,-53,-100,-61,-87,-91,-100,-91,-100,1
8,-88,-84,-92,-62,-51,-100,-62,-87,-91,-100,-91,-100,1
9,-88,-78,-90,-63,-56,-100,-62,-87,-91,-100,-94,-100,1
10,-92,-85,-90,-56,-65,-100,-61,-87,-91,-100,-91,-100,1
11,-88,-78,-90,-55,-54,-100,-64,-86,-91,-100,-91,-100,1
12,-88,-81,-88,-64,-55,-100,-63,-87,-91,-100,-88,-100,1
13,-88,-84,-92,-63,-54,-100,-64,-87,-91,-100,-91,-100,1
14,-88,-79,-90,-66,-55,-100,-65,-87,-91,-100,-91,-100,1
15,-90,-75,-90,-60,-51,-100,-63,-87,-91,-100,-91,-100,1
16,-88,-77,-90,-67,-56,-100,-69,-87,-91,-100,-91,-100,1
17,-88,-80,-89,-64,-55,-100,-64,-87,-88,-100,-91,-100,1
18,-88,-77,-90,-64,-56,-100,-63,-87,-91,-100,-91,-100,1
19,-88,-78,-94,-62,-65,-100,-60,-87,-91,-100,-91,-100,1
